experiment_type,m,ef,ef_search,lim,indexing_time,throughput,average_latency,recall
IVF,,,,1,102.85544239438518,242.529576304183,0.004007920726374608,0.953096640762297
IVF,,,,10,60.19878901782663,258.4797918081166,0.0038872181328680083,0.8375942240407696
IVF,,,,100,52.67269416168884,192.91102469780296,0.005358534191089859,0.7203680514403863
HNSW,8.0,64.0,128.0,1,19.05552909914966,259.0675368521663,0.00424183113745555,0.7479235782068541
HNSW,8.0,64.0,128.0,10,19.264592838518492,226.08069897576996,0.004380238881207393,0.6265680603743544
HNSW,8.0,64.0,128.0,100,18.91053321428591,175.9714273415772,0.005831529140093356,0.5193908769706779
HNSW,8.0,64.0,512.0,1,21.368225275786223,190.22685712151602,0.0053122509897277105,0.7642206046642235
HNSW,8.0,64.0,512.0,10,27.416827783250678,184.87326777908382,0.005167825863682544,0.7471058191867526
HNSW,8.0,64.0,512.0,100,20.68058642923032,163.37397769346842,0.005960004211938196,0.6418202392214344
HNSW,8.0,512.0,128.0,1,69.08307475623289,334.27828586178424,0.0034614652849112564,0.6317842512997405
HNSW,8.0,512.0,128.0,10,78.61107580059185,257.67220665056897,0.0039616017983498284,0.6591585442090874
HNSW,8.0,512.0,128.0,100,63.71767358030505,199.91765924869605,0.0053639953525731,0.5431503217988406
HNSW,8.0,512.0,512.0,1,63.84330346597705,223.70419841916924,0.004189270768609554,0.8345997617531206
HNSW,8.0,512.0,512.0,10,57.99121531188839,236.6201485946987,0.00423750783392704,0.8079192733173567
HNSW,8.0,512.0,512.0,100,55.71813914057135,174.76799077079943,0.005713415615199856,0.6420883824570941
HNSW,64.0,64.0,128.0,1,32.088371450424845,251.38037251283734,0.004040932306628609,0.850901076079987
HNSW,64.0,64.0,128.0,10,36.23364601595905,271.7682267726533,0.0037497710082140773,0.8530164416115842
HNSW,64.0,64.0,128.0,100,32.88649225207745,164.25284694747955,0.006085074758298034,0.7351893915161509
HNSW,64.0,64.0,512.0,1,35.09016487024454,204.25892187633724,0.005250004183245725,0.9541517922453511
HNSW,64.0,64.0,512.0,10,36.80943015247743,177.76016136801042,0.005214223515529472,0.8667390873402243
HNSW,64.0,64.0,512.0,100,32.50134376003363,135.34248089576903,0.006370529649716599,0.8728928150417544
HNSW,64.0,512.0,128.0,1,230.92052516766813,146.2572928076057,0.007121125542342836,0.9193834420150914
HNSW,64.0,512.0,128.0,10,224.552230556402,153.39818460263277,0.0065672189911795764,0.923910332243822
HNSW,64.0,512.0,128.0,100,233.0636906220043,96.98165626663592,0.010346600039718197,0.7867438338414311
HNSW,64.0,512.0,512.0,1,198.9656276420053,105.18298213005947,0.009440859148693852,1.0206575801516646
HNSW,64.0,512.0,512.0,10,196.39798762094372,95.93118876844073,0.010673139036329646,1.01785228428647
HNSW,64.0,512.0,512.0,100,190.13219205791304,99.44195853976467,0.010397345123462727,0.9357331263477464
