experiment_type,m,ef,ef_search,lim,indexing_time,throughput,average_latency,recall
IVF,,,,1,130.43953108787537,600.7564915384554,0.0016645679473876952,0.9484
IVF,,,,10,186.2610068321228,381.19286724779977,0.0026233439445495607,0.9262
IVF,,,,100,153.24374294281006,139.60249788481266,0.0071631956100463865,0.873176
HNSW,8,64,128,10,35.1100640296936,894.1347815817321,0.0011183996200561524,0.72124
HNSW,8,64,128,100,10.204478979110718,236.11807416916332,0.0042351692199707035,0.716956
HNSW,8,64,512,10,11.247444868087769,1391.390933140981,0.0007187052726745606,0.82588
HNSW,8,64,512,100,10.171638011932373,298.9885197300157,0.003344610023498535,0.793196
HNSW,8,512,128,1,93.67595791816711,1429.6520382347278,0.0006994709014892578,0.8168
HNSW,8,512,128,10,110.06699180603027,346.637897420801,0.002884854793548584,0.79948
HNSW,8,512,128,100,92.28763484954834,55.86452856086117,0.01790044641494751,0.766396
HNSW,8,512,512,1,91.76258206367493,685.5195616496962,0.0014587475776672363,0.9012
HNSW,8,512,512,10,81.45493197441101,194.30184476276258,0.005146631526947021,0.89572
HNSW,8,512,512,100,99.75341296195984,110.50494528325571,0.00904936876296997,0.855868
HNSW,64,64,128,1,49.93385195732117,501.2415884396876,0.0019950459480285645,0.8732
HNSW,64,64,128,10,19.898072004318237,407.0760173823807,0.0024565436363220214,0.86804
HNSW,64,64,128,100,20.992111206054688,293.31238607171207,0.003409334373474121,0.806772
HNSW,64,64,512,1,28.547757148742676,426.467835755937,0.0023448427200317384,0.9324
HNSW,64,64,512,10,18.92487120628357,113.92781116164556,0.008777488040924073,0.92804
HNSW,64,64,512,100,19.857194185256958,233.0559024469585,0.004290816020965576,0.892744
HNSW,64,512,128,1,141.85434079170227,1230.6691268093546,0.0008125660896301269,0.9204
HNSW,64,512,128,10,115.79606676101685,179.53482499722327,0.005569950008392334,0.91828
HNSW,64,512,128,100,123.65840792655945,313.9393457457281,0.0031853286743164064,0.880236
HNSW,64,512,512,1,113.9431779384613,1097.802449874581,0.000910910701751709,0.9648
HNSW,64,512,512,10,193.81404089927673,203.15570848445395,0.004922332763671875,0.954
HNSW,64,512,512,100,142.32047200202942,239.56670105652339,0.004174202823638916,0.930504
