ef_construct,m,ef,k,qps,recall,time_span_insert,time_span_search,time_span_points,timestamp
64, 8, 64, 1, 70.41646294268632, 0.0449, 201.48815321922302, 142.01224517822266, 54.88931584358215, 23_01_24_18:23
64, 8, 64, 10, 91.82258517755503, 0.04652201659221442, 201.48815321922302, 108.90566825866699, 54.88931584358215, 23_01_24_18:25
64, 8, 64, 100, 70.20162900228364, 0.06282436302947686, 201.48815321922302, 142.44683694839478, 54.88931584358215, 23_01_24_18:28
64, 8, 256, 1, 43.89715867243075, 0.1097, 195.44042921066284, 227.8051769733429, 122.0210747718811, 23_01_24_18:37
64, 8, 256, 10, 49.14581162083297, 0.11812514627348354, 195.44042921066284, 203.47613906860352, 122.0210747718811, 23_01_24_18:40
64, 8, 256, 100, 47.226541065122746, 0.11140877405442913, 195.44042921066284, 211.74534010887146, 122.0210747718811, 23_01_24_18:44
64, 32, 64, 1, 55.20275928616087, 0.3038, 206.00118589401245, 181.15036511421204, 99.14394092559814, 23_01_24_18:52
64, 32, 64, 10, 67.0525931419828, 0.2929614018851412, 206.00118589401245, 149.13666319847107, 99.14394092559814, 23_01_24_18:54
64, 32, 64, 100, 48.54320744277177, 0.27852519156923966, 206.00118589401245, 206.00204491615295, 99.14394092559814, 23_01_24_18:58
64, 32, 256, 1, 35.76869232615132, 0.4392, 206.43920803070068, 279.5741009712219, 111.9167811870575, 23_01_24_19:08
64, 32, 256, 10, 35.960999509714085, 0.43441482386153185, 206.43920803070068, 278.07903385162354, 111.9167811870575, 23_01_24_19:12
64, 32, 256, 100, 34.30499285986049, 0.4009233114608614, 206.43920803070068, 291.50275707244873, 111.9167811870575, 23_01_24_19:17
256, 8, 64, 1, 70.70615288408197, 0.0901, 253.37867498397827, 141.4304072856903, 112.04363417625427, 23_01_24_19:25
256, 8, 64, 10, 123.20270337310045, 0.08664971200530755, 253.37867498397827, 81.16705012321472, 112.04363417625427, 23_01_24_19:27
256, 8, 64, 100, 90.6009398455544, 0.0851019732230122, 253.37867498397827, 110.37413096427917, 112.04363417625427, 23_01_24_19:29
256, 8, 256, 1, 36.304340958785865, 0.1935, 260.95041584968567, 275.4491539001465, 102.02638006210327, 23_01_24_19:39
256, 8, 256, 10, 46.318979705575344, 0.19325159652857377, 260.95041584968567, 215.89422011375427, 102.02638006210327, 23_01_24_19:43
256, 8, 256, 100, 42.77352188966421, 0.1831894265430545, 260.95041584968567, 233.78949308395386, 102.02638006210327, 23_01_24_19:47
256, 32, 64, 1, 28.178330879650446, 0.6126, 305.6753489971161, 354.88262391090393, 117.25015807151794, 23_01_24_20:00
256, 32, 64, 10, 53.658135038154995, 0.5777635475866485, 305.6753489971161, 186.36503100395203, 117.25015807151794, 23_01_24_20:03
256, 32, 64, 100, 38.08685037648266, 0.5237412865225545, 305.6753489971161, 262.55780935287476, 117.25015807151794, 23_01_24_20:07
256, 32, 256, 1, 20.27554797760714, 0.8187, 372.45218777656555, 493.20491909980774, 131.33605289459229, 23_01_24_20:24
256, 32, 256, 10, 27.686176060582923, 0.8106, 372.45218777656555, 361.19108605384827, 131.33605289459229, 23_01_24_20:30
256, 32, 256, 100, 26.94936086406599, 0.763769, 372.45218777656555, 371.0663139820099, 131.33605289459229, 23_01_24_20:36
